,id,time,x
0,1,623652,848
1,1,624460,808
2,1,625240,780
3,1,626060,820
4,1,626860,800
5,1,627728,868
6,1,628588,860
7,1,629440,852
8,1,630264,824
9,1,631068,804
10,1,631876,808
11,1,632668,792
12,1,633424,756
13,1,634168,744
14,1,634908,740
15,1,635648,740
16,1,636376,728
17,1,637108,732
18,1,637844,736
19,1,638588,744
20,1,639316,728
21,1,640048,732
22,1,640780,732
23,1,641520,740
24,1,642252,732
25,1,642984,732
26,1,643708,724
27,1,644424,716
28,1,645144,720
29,1,645868,724
30,1,646592,724
31,1,647312,720
32,1,648020,708
33,1,648716,696
34,1,649400,684
35,1,650084,684
36,1,650756,672
37,1,651408,652
38,1,652056,648
39,1,652720,664
40,1,653388,668
41,1,654072,684
42,1,654764,692
43,1,655432,668
44,1,656120,688
45,1,656832,712
46,1,657544,712
47,1,658240,696
48,1,658932,692
49,1,659632,700
50,1,660352,720
51,1,661152,800
52,1,661948,796
53,1,662748,800
54,1,663536,788
55,1,664312,776
56,1,665084,772
57,1,665836,752
58,1,666544,708
59,1,667256,712
60,1,667972,716
61,1,668708,736
62,1,669432,724
63,1,670160,728
64,1,670912,752
65,1,671648,736
66,1,672352,704
67,1,673080,728
68,1,673820,740
69,1,674516,696
70,1,675220,704
71,1,675932,712
72,1,676664,732
73,1,677400,736
74,1,678088,688
75,1,678804,716
76,1,679512,708
77,1,680204,692
78,1,680884,680
79,1,681588,704
80,1,682296,708
81,1,683008,712
82,1,683716,708
83,1,684412,696
84,1,685120,708
85,1,685816,696
86,1,686512,696
87,1,687188,676
88,1,687864,676
89,1,688552,688
90,1,689240,688
91,1,689932,692
92,1,690624,692
93,1,691292,668
94,1,691964,672
95,1,692640,676
96,1,693332,692
97,1,694032,700
98,1,694720,688
99,1,695388,668
100,1,696052,664
101,1,696724,672
102,1,697392,668
103,1,698052,660
104,1,698704,652
105,1,699360,656
106,1,700020,660
107,1,700676,656
108,1,701332,656
109,1,701984,652
110,1,702652,668
111,1,703316,664
112,1,703980,664
113,1,704632,652
114,1,705284,652
115,1,705952,668
116,1,706628,676
117,1,707300,672
118,1,707968,668
